U1085, iter_0: news_150, news_2864, news_5797, news_4249, news_5606, news_4083, news_8643, news_4237, news_1244, news_1120, news_2824, news_195, news_5752, news_4781, news_7242, news_4140, news_8308, news_683, news_144, news_4715
U6044, iter_0: news_5884, news_8308, news_4140, news_211, news_5051, news_2824, news_1301, news_3563, news_5606, news_7212, news_2864, news_5752, news_1291, news_4681, news_5797, news_195, news_683, news_4083, news_1120, news_7824
U908, iter_0: news_8189, news_4715, news_1291, news_2824, news_4781, news_3947, news_5606, news_4237, news_7824, news_7242, news_150, news_4249, news_5752, news_5797, news_3563, news_2864, news_1244, news_5884, news_8643, news_5051
U6346, iter_0: news_3947, news_4140, news_8189, news_3563, news_2824, news_195, news_5884, news_5606, news_4715, news_5752, news_7242, news_4083, news_2864, news_1291, news_150, news_4249, news_5051, news_4781, news_4237, news_5797
U3297, iter_0: news_5884, news_2824, news_2864, news_3947, news_4140, news_195, news_5797, news_1291, news_3563, news_211, news_5051, news_150, news_4715, news_5752, news_8189, news_4681, news_4266, news_4083, news_5606, news_7824
U14, iter_0: news_2864, news_4715, news_2824, news_5752, news_8189, news_4083, news_4681, news_7242, news_4266, news_150, news_4249, news_1301, news_211, news_4237, news_1120, news_3947, news_4650, news_1244, news_8643, news_7212
U3352, iter_0: news_150, news_8189, news_4715, news_4781, news_8643, news_3563, news_7824, news_195, news_7242, news_5752, news_4249, news_5797, news_4140, news_5051, news_2824, news_4237, news_4266, news_4681, news_4083, news_2801
U960, iter_0: news_4715, news_150, news_5884, news_8189, news_7824, news_5797, news_2824, news_4681, news_2864, news_5752, news_195, news_3563, news_1301, news_4781, news_7242, news_4140, news_8643, news_4249, news_4237, news_4083
U5040, iter_0: news_7824, news_8643, news_1301, news_7212, news_211, news_4681, news_5797, news_8308, news_4266, news_1291, news_5051, news_5752, news_3563, news_1244, news_150, news_5884, news_2864, news_1120, news_144, news_4140
U3041, iter_0: news_8189, news_4237, news_4650, news_4781, news_7242, news_4249, news_2801, news_5606, news_1244, news_2824, news_4083, news_144, news_3491, news_2864, news_8643, news_3947, news_683, news_1291, news_5752, news_195
U3143, iter_0: news_2824, news_3947, news_4715, news_8189, news_4781, news_7242, news_150, news_1244, news_4249, news_5051, news_4237, news_5797, news_1291, news_4083, news_5752, news_3563, news_8643, news_4681, news_4140, news_5606
U91, iter_0: news_4140, news_4237, news_3563, news_8643, news_4781, news_8189, news_211, news_144, news_5752, news_4249, news_1301, news_2801, news_3947, news_4083, news_7242, news_195, news_4650, news_4715, news_1291, news_5797
U3066, iter_0: news_5884, news_3563, news_4140, news_5051, news_8308, news_3947, news_150, news_2824, news_5752, news_195, news_7824, news_5797, news_2864, news_1291, news_1301, news_8189, news_4681, news_4715, news_4266, news_211
U1235, iter_0: news_5051, news_3947, news_5884, news_2824, news_1291, news_2864, news_150, news_4140, news_3563, news_8189, news_4715, news_195, news_5797, news_5752, news_5606, news_7824, news_4681, news_8308, news_4781, news_211
U1608, iter_0: news_4715, news_8189, news_2824, news_4781, news_3947, news_150, news_5606, news_2864, news_4237, news_7242, news_5797, news_4249, news_195, news_5051, news_4681, news_5884, news_5752, news_4083, news_1244, news_7824
U1282, iter_0: news_150, news_8189, news_4781, news_7824, news_1244, news_4140, news_4715, news_3563, news_3947, news_195, news_1291, news_4237, news_7242, news_8643, news_5752, news_2824, news_5606, news_5797, news_4083, news_4266
U1178, iter_0: news_2824, news_1244, news_4237, news_8189, news_5606, news_4781, news_5884, news_144, news_211, news_4715, news_7824, news_683, news_1291, news_4249, news_5797, news_7242, news_3947, news_4083, news_2801, news_4650
U3194, iter_0: news_8189, news_4715, news_4249, news_4237, news_7242, news_4083, news_195, news_4140, news_683, news_4650, news_1291, news_5752, news_150, news_5797, news_1244, news_1301, news_4681, news_5051, news_8643, news_3947
U1369, iter_0: news_3947, news_150, news_8189, news_4715, news_2824, news_195, news_3563, news_4781, news_4140, news_1291, news_7242, news_2864, news_5884, news_5797, news_4249, news_5752, news_4083, news_4237, news_8643, news_4266
U3687, iter_0: news_5884, news_2824, news_4083, news_5606, news_683, news_3491, news_144, news_2864, news_211, news_4237, news_195, news_1120, news_4249, news_8189, news_7242, news_4140, news_5752, news_4715, news_4650, news_5797
U4903, iter_0: news_8627, news_6055, news_5752, news_1301, news_2281, news_3976, news_8143, news_6543, news_4114, news_958, news_769, news_2951, news_623, news_5832, news_6666, news_4681, news_5632, news_6452, news_571, news_911
U5155, iter_0: news_150, news_5051, news_7824, news_4715, news_5797, news_4681, news_8189, news_3947, news_1291, news_3563, news_4781, news_211, news_5752, news_2864, news_8308, news_2824, news_195, news_4266, news_5884, news_1301
U1262, iter_0: news_7212, news_5884, news_211, news_8308, news_2824, news_5051, news_683, news_1301, news_1120, news_4681, news_5797, news_5606, news_2864, news_144, news_3491, news_4140, news_5752, news_4266, news_7824, news_3563
U4607, iter_0: news_211, news_7824, news_1244, news_5884, news_5797, news_1291, news_4681, news_2824, news_1301, news_8308, news_5752, news_8643, news_150, news_3563, news_4266, news_5606, news_4781, news_144, news_4715, news_4140
U1016, iter_0: news_7824, news_150, news_4681, news_4715, news_211, news_5752, news_4140, news_4781, news_1244, news_195, news_2864, news_8189, news_1301, news_8643, news_7242, news_4249, news_4083, news_4237, news_2801, news_3491
U3950, iter_0: news_3563, news_8308, news_4140, news_7824, news_5606, news_5797, news_4681, news_150, news_8643, news_1301, news_3947, news_211, news_5752, news_4715, news_1120, news_8189, news_1244, news_4083, news_7242, news_4249
U2236, iter_0: news_5606, news_144, news_683, news_5884, news_1291, news_2824, news_4237, news_211, news_1244, news_5752, news_8308, news_4681, news_7824, news_1120, news_2801, news_1301, news_3491, news_3563, news_5797, news_7242
U601, iter_0: news_8189, news_4715, news_150, news_4249, news_1301, news_4681, news_4237, news_6578, news_3948, news_5781, news_8037, news_7818, news_4980, news_6643, news_6748, news_5625, news_3892, news_4126, news_3894, news_7531
U1361, iter_0: news_150, news_8189, news_4715, news_7824, news_3947, news_5051, news_4781, news_195, news_1291, news_3563, news_5752, news_8643, news_5797, news_4140, news_4249, news_7242, news_4681, news_1301, news_4237, news_2824
U871, iter_0: news_5606, news_3563, news_5884, news_5752, news_4140, news_211, news_8308, news_683, news_144, news_1301, news_7824, news_1291, news_4681, news_7212, news_1120, news_1244, news_2824, news_5797, news_4237, news_8643
U5283, iter_0: news_5884, news_4140, news_4083, news_5606, news_8189, news_5752, news_3563, news_2824, news_7242, news_4715, news_4249, news_4237, news_1120, news_144, news_3491, news_4650, news_4266, news_2801, news_1301, news_150
U6132, iter_0: news_8189, news_4715, news_5606, news_2824, news_4140, news_7242, news_4249, news_4237, news_3947, news_4781, news_4083, news_1291, news_3563, news_5884, news_5752, news_2801, news_1244, news_144, news_2864, news_150
U1985, iter_0: news_2824, news_150, news_4715, news_3947, news_1291, news_5051, news_4681, news_8189, news_8308, news_5752, news_7242, news_4083, news_1301, news_4249, news_8643, news_5606, news_3491, news_683, news_4650, news_2801
U2762, iter_0: news_150, news_5051, news_1291, news_7824, news_8189, news_4715, news_3947, news_5797, news_4781, news_3563, news_4681, news_8643, news_2864, news_5752, news_2824, news_195, news_211, news_4140, news_5884, news_7242
U2786, iter_0: news_7212, news_683, news_5606, news_5884, news_144, news_1120, news_211, news_8308, news_1301, news_4083, news_3491, news_4140, news_1291, news_5752, news_4681, news_2824, news_2801, news_3563, news_4266, news_2864
U1060, iter_0: news_5884, news_2864, news_5051, news_5606, news_195, news_5797, news_5752, news_4681, news_4715, news_7242, news_4781, news_2801, news_4237, news_8643, news_3947, news_4083, news_4266, news_8189, news_1120, news_7824
U3670, iter_0: news_5884, news_4140, news_1301, news_5752, news_8308, news_4681, news_4083, news_1120, news_8643, news_8189, news_150, news_4237, news_4715, news_4249, news_7242, news_2801, news_3563, news_5051, news_211, news_7824
U5476, iter_0: news_8189, news_4715, news_150, news_3947, news_3563, news_195, news_5752, news_2864, news_1291, news_7824, news_7242, news_4781, news_5797, news_4140, news_2824, news_5051, news_5884, news_4249, news_8643, news_4083
U4361, iter_0: news_8189, news_2824, news_3947, news_4781, news_150, news_1291, news_5051, news_5884, news_7824, news_5797, news_4237, news_4249, news_7242, news_195, news_5606, news_2864, news_5752, news_1244, news_211, news_4681
U1055, iter_0: news_5002, news_7112, news_6315, news_7166, news_4715, news_3937, news_8189, news_5196, news_5832, news_8143, news_5632, news_7200, news_3976, news_4071, news_5752, news_6543, news_1939, news_4722, news_884, news_7242
U1067, iter_0: news_8189, news_5051, news_4781, news_3947, news_2824, news_4715, news_150, news_4237, news_4249, news_8643, news_7242, news_5797, news_195, news_3563, news_5752, news_5606, news_211, news_5884, news_4650, news_4681
U1674, iter_0: news_5884, news_2864, news_4140, news_195, news_2824, news_3947, news_3563, news_8308, news_5051, news_5752, news_4083, news_5606, news_4715, news_8189, news_1291, news_4681, news_7242, news_4266, news_5797, news_3491
U2371, iter_0: news_5606, news_3563, news_8189, news_4140, news_4715, news_195, news_5752, news_4083, news_4237, news_7242, news_1291, news_5884, news_4249, news_3947, news_5051, news_1301, news_3491, news_4650, news_7824, news_2864
U2396, iter_0: news_8189, news_195, news_4715, news_3947, news_4140, news_150, news_7242, news_2824, news_3563, news_4249, news_4083, news_5752, news_5884, news_1291, news_4781, news_2864, news_4237, news_5606, news_5797, news_4266
U2702, iter_0: news_5884, news_683, news_2824, news_1120, news_144, news_5606, news_4140, news_7212, news_4083, news_211, news_8308, news_1244, news_3491, news_5752, news_2801, news_3563, news_4266, news_1301, news_4237, news_195
U733, iter_0: news_1244, news_1291, news_7824, news_4715, news_5797, news_150, news_4781, news_8643, news_4681, news_2824, news_5752, news_4266, news_8308, news_8189, news_3563, news_211, news_144, news_5606, news_1301, news_5884
U3305, iter_0: news_8627, news_7119, news_796, news_6452, news_6666, news_3937, news_427, news_2573, news_5196, news_3976, news_5072, news_5752, news_8189, news_1288, news_5832, news_5193, news_6421, news_1301, news_4715, news_670
U2253, iter_0: news_4140, news_1291, news_5606, news_8189, news_4715, news_7824, news_5752, news_4781, news_3947, news_195, news_4237, news_4249, news_7242, news_5884, news_150, news_8643, news_1244, news_1301, news_4083, news_5797
U3942, iter_0: news_4140, news_2824, news_3563, news_3947, news_195, news_5606, news_4083, news_8189, news_5752, news_1301, news_1120, news_7242, news_4715, news_5051, news_4249, news_144, news_5797, news_4266, news_211, news_4237
U5726, iter_0: news_6666, news_7112, news_5002, news_5654, news_8468, news_1477, news_7119, news_5193, news_958, news_6315, news_8143, news_4715, news_3976, news_557, news_7166, news_454, news_8189, news_7200, news_553, news_623
U1432, iter_0: news_6315, news_5002, news_796, news_4722, news_5654, news_7119, news_8468, news_4103, news_4375, news_557, news_6666, news_454, news_6452, news_1288, news_8627, news_1477, news_5832, news_5193, news_7166, news_2573
U660, iter_0: news_150, news_7824, news_1291, news_3947, news_3563, news_4715, news_8189, news_5051, news_5797, news_8643, news_4781, news_195, news_4140, news_5752, news_4681, news_2824, news_5884, news_4266, news_1301, news_211
U1664, iter_0: news_150, news_1291, news_5051, news_7824, news_5797, news_2824, news_4715, news_3947, news_211, news_4781, news_4681, news_8189, news_8643, news_2864, news_5884, news_3563, news_5752, news_8308, news_1244, news_1301
U5011, iter_0: news_4375, news_2573, news_7119, news_8189, news_5193, news_6452, news_6543, news_2281, news_557, news_4715, news_796, news_1288, news_623, news_482, news_8444, news_150, news_7112, news_4190, news_5752, news_5072
U3020, iter_0: news_4781, news_1244, news_8643, news_4237, news_4249, news_8189, news_150, news_7242, news_7824, news_4650, news_2801, news_4715, news_3563, news_3947, news_4140, news_144, news_5752, news_4266, news_1120, news_3491
U3869, iter_0: news_4237, news_4083, news_7242, news_5752, news_4715, news_8643, news_4681, news_150, news_7131, news_1768, news_213, news_845, news_2378, news_2800, news_2626, news_533, news_1053, news_1759, news_5402, news_5449
U5864, iter_0: news_150, news_3947, news_2824, news_5051, news_1291, news_5797, news_4715, news_8189, news_5884, news_4781, news_7824, news_2864, news_211, news_3563, news_4681, news_195, news_4140, news_5752, news_4266, news_1244
U3316, iter_0: news_5606, news_5752, news_4715, news_4083, news_8189, news_7242, news_4237, news_4249, news_683, news_2801, news_3947, news_1301, news_8643, news_3491, news_1244, news_5797, news_2864, news_150, news_4681, news_211
U4085, iter_0: news_1291, news_7824, news_150, news_5797, news_1244, news_4715, news_2824, news_4681, news_211, news_4781, news_2864, news_5884, news_8189, news_4266, news_5752, news_8643, news_3563, news_8308, news_3947, news_7242
U4758, iter_0: news_7824, news_211, news_150, news_1244, news_5797, news_2824, news_4681, news_1291, news_5884, news_4781, news_4715, news_4266, news_8189, news_5051, news_3947, news_8643, news_2864, news_1301, news_5752, news_195
U4886, iter_0: news_150, news_5051, news_3947, news_2824, news_4715, news_7824, news_1291, news_8643, news_4681, news_211, news_8189, news_2864, news_5884, news_3563, news_5752, news_4266, news_1244, news_7242, news_195, news_8308
U5328, iter_0: news_1244, news_150, news_8189, news_4715, news_3947, news_4681, news_8643, news_5051, news_1291, news_4249, news_4237, news_7242, news_195, news_1301, news_5752, news_3563, news_8308, news_5606, news_4140, news_3491
U2007, iter_0: news_8643, news_150, news_5797, news_2824, news_1291, news_8189, news_4781, news_4715, news_4681, news_1244, news_1301, news_5752, news_4266, news_5606, news_7242, news_4249, news_4237, news_2801, news_195, news_7212
U3863, iter_0: news_144, news_3563, news_5752, news_4781, news_7242, news_1301, news_1244, news_4715, news_1291, news_211, news_5797, news_2824, news_3947, news_2864, news_2801, news_8643, news_4083, news_7824, news_4681, news_4266
U5623, iter_0: news_2824, news_8189, news_4715, news_1244, news_4781, news_150, news_3947, news_5884, news_211, news_4681, news_4237, news_4249, news_7242, news_8643, news_5752, news_2864, news_4140, news_2801, news_1301, news_4650
U6117, iter_0: news_4715, news_150, news_7824, news_8189, news_1244, news_4781, news_5797, news_1291, news_7242, news_8643, news_2864, news_5752, news_2824, news_4681, news_4249, news_4266, news_3947, news_195, news_2801, news_4237
U6579, iter_0: news_8189, news_4715, news_5606, news_7824, news_1291, news_150, news_4237, news_5752, news_195, news_3947, news_4781, news_4140, news_3563, news_4249, news_7242, news_5051, news_4083, news_1301, news_2824, news_5884
U2442, iter_0: news_3563, news_4140, news_150, news_195, news_5884, news_1291, news_5797, news_211, news_3947, news_4249, news_144, news_5051, news_4650, news_7824, news_1301, news_4266, news_4083, news_4781, news_2801, news_3491
U95, iter_0: news_150, news_8189, news_4715, news_7824, news_3947, news_8643, news_5752, news_5797, news_7242, news_1291, news_4249, news_5051, news_4681, news_4237, news_1301, news_211, news_4266, news_5606, news_8308, news_4083
U278, iter_0: news_4781, news_4237, news_7824, news_8643, news_4249, news_8189, news_4715, news_7242, news_5752, news_2801, news_3563, news_4140, news_4681, news_1301, news_211, news_150, news_144, news_5606, news_5797, news_4650
U3801, iter_0: news_150, news_1291, news_4715, news_8643, news_3947, news_8189, news_4681, news_4266, news_5752, news_195, news_5051, news_211, news_7242, news_1301, news_4249, news_4237, news_5606, news_4083, news_144, news_1120
U5752, iter_0: news_3947, news_5051, news_5884, news_150, news_4140, news_195, news_8189, news_5797, news_5752, news_4715, news_8308, news_1291, news_1301, news_4681, news_8643, news_4266, news_4781, news_7242, news_4249, news_4083
U2671, iter_0: news_7824, news_211, news_8308, news_4681, news_1301, news_5884, news_5752, news_5797, news_3563, news_2864, news_4266, news_5606, news_150, news_1291, news_8643, news_3491, news_144, news_4083, news_4140, news_1120
U285, iter_0: news_5884, news_2824, news_2864, news_3947, news_4140, news_195, news_211, news_5797, news_3563, news_8189, news_5051, news_4083, news_4266, news_5752, news_8308, news_4681, news_1291, news_5606, news_7242, news_1301
U750, iter_0: news_3947, news_2824, news_8189, news_5884, news_5051, news_4715, news_195, news_4140, news_150, news_3563, news_2864, news_1291, news_4781, news_7242, news_5752, news_5797, news_4249, news_5606, news_4083, news_4237
U6342, iter_0: news_5606, news_4237, news_683, news_144, news_4140, news_8189, news_4249, news_4781, news_2824, news_4083, news_1244, news_2801, news_7242, news_3563, news_1291, news_4715, news_1120, news_5752, news_4650, news_5884
U3244, iter_0: news_8189, news_4715, news_5606, news_2864, news_4237, news_4650, news_4781, news_2824, news_1291, news_5051, news_3947, news_7242, news_2801, news_4249, news_683, news_144, news_4083, news_3491, news_8643, news_5752
U4642, iter_0: news_5884, news_2824, news_3947, news_4140, news_4083, news_5797, news_4715, news_8189, news_5752, news_8308, news_150, news_4266, news_5606, news_7242, news_4681, news_5051, news_1301, news_4249, news_683, news_3491
U4188, iter_0: news_8308, news_211, news_7212, news_5051, news_1301, news_4681, news_3563, news_5797, news_4140, news_7824, news_5606, news_2824, news_1291, news_5752, news_2864, news_683, news_1120, news_4266, news_144, news_3491
U736, iter_0: news_5606, news_8189, news_4140, news_3563, news_5752, news_195, news_4715, news_4083, news_7242, news_8308, news_5884, news_1301, news_3947, news_4249, news_2801, news_2864, news_1291, news_4237, news_3491, news_7824
U246, iter_0: news_5884, news_2824, news_1291, news_8308, news_5752, news_4140, news_2864, news_5606, news_1301, news_4715, news_3563, news_8189, news_211, news_5797, news_4681, news_195, news_7824, news_683, news_4083, news_7242
U2937, iter_0: news_7824, news_150, news_1291, news_1244, news_4781, news_5051, news_8189, news_8643, news_211, news_2824, news_5797, news_3947, news_4715, news_4681, news_3563, news_5752, news_4140, news_5884, news_1301, news_4237
U571, iter_0: news_8189, news_3947, news_5884, news_2824, news_2864, news_4715, news_5051, news_195, news_150, news_5606, news_1291, news_5752, news_7242, news_5797, news_4140, news_4249, news_4083, news_3563, news_8308, news_4781
U4373, iter_0: news_8189, news_7242, news_5752, news_4249, news_4083, news_1301, news_7811, news_588, news_4604, news_3905, news_89, news_7637, news_5654, news_1407, news_3945, news_6622, news_6578, news_2350, news_7749, news_8439
U5295, iter_0: news_2824, news_5884, news_3947, news_4715, news_2864, news_8189, news_195, news_4140, news_1291, news_7242, news_4083, news_3563, news_5797, news_4249, news_5752, news_683, news_5606, news_4781, news_4266, news_4237
U6544, iter_0: news_4237, news_2801, news_4650, news_4715, news_7242, news_4249, news_8189, news_5752, news_1244, news_4083, news_4681, news_1120, news_8643, news_1301, news_5797, news_211, news_4140, news_3947, news_195, news_150
U771, iter_0: news_150, news_4715, news_8189, news_4781, news_3947, news_1291, news_8643, news_7824, news_5797, news_5051, news_3563, news_4681, news_2864, news_7242, news_4266, news_195, news_5752, news_2824, news_1244, news_4249
U3604, iter_0: news_3563, news_8189, news_4237, news_4083, news_2864, news_4140, news_5752, news_144, news_7242, news_4781, news_4650, news_8308, news_4249, news_2801, news_683, news_195, news_7824, news_3491, news_3947, news_1301
U749, iter_0: news_211, news_5884, news_8308, news_7824, news_7212, news_1301, news_4681, news_3563, news_4140, news_683, news_5797, news_1120, news_4266, news_144, news_5606, news_1244, news_2824, news_1291, news_8643, news_2864
U2514, iter_0: news_5606, news_8308, news_144, news_7212, news_683, news_5752, news_1301, news_3491, news_2801, news_1120, news_4237, news_7824, news_4681, news_4083, news_211, news_8643, news_4650, news_3563, news_4249, news_1291
U4856, iter_0: news_7824, news_150, news_8189, news_8643, news_5051, news_1244, news_4781, news_3947, news_4237, news_4715, news_4249, news_211, news_5797, news_3563, news_7242, news_4681, news_2801, news_4650, news_5752, news_1301
U6585, iter_0: news_8189, news_4715, news_150, news_4249, news_3947, news_7242, news_4083, news_4237, news_4140, news_4781, news_5752, news_3563, news_1291, news_2801, news_4650, news_1244, news_683, news_4266, news_1120, news_144
U5753, iter_0: news_3947, news_150, news_1291, news_4715, news_5797, news_8189, news_4140, news_4681, news_7824, news_7242, news_4266, news_5752, news_4249, news_8643, news_4237, news_4083, news_5606, news_1301, news_8308, news_2801
U3752, iter_0: news_1291, news_8643, news_5051, news_7212, news_211, news_5797, news_4681, news_8308, news_1301, news_7824, news_5752, news_5606, news_3563, news_5884, news_1244, news_144, news_4266, news_2864, news_683, news_2824
U2150, iter_0: news_3563, news_4140, news_150, news_4715, news_8308, news_2824, news_5752, news_3947, news_8189, news_5051, news_4681, news_1301, news_2864, news_8643, news_4266, news_5606, news_7242, news_1244, news_4249, news_4083
U4474, iter_0: news_2824, news_5606, news_211, news_4083, news_5752, news_1301, news_4715, news_4681, news_8189, news_5051, news_1291, news_7242, news_4140, news_7212, news_4249, news_4237, news_4266, news_3563, news_3947, news_4650
U5709, iter_0: news_8189, news_4083, news_5752, news_7242, news_4249, news_1301, news_6221, news_6168, news_4551, news_5625, news_1925, news_6092, news_2018, news_8552, news_2123, news_3956, news_4727, news_3372, news_1918, news_5508
U2996, iter_0: news_8189, news_4715, news_8643, news_4781, news_1291, news_7824, news_150, news_5051, news_5606, news_5752, news_3947, news_3563, news_7242, news_5797, news_2801, news_4249, news_1301, news_8308, news_1244, news_2824
U3665, iter_0: news_5884, news_7824, news_8308, news_5752, news_3563, news_4715, news_8189, news_5797, news_150, news_4140, news_195, news_1301, news_2864, news_4681, news_5606, news_2824, news_211, news_3947, news_1291, news_4266
U3858, iter_0: news_150, news_7824, news_1291, news_4715, news_8643, news_4781, news_1244, news_3563, news_8189, news_5797, news_5752, news_4140, news_3947, news_4681, news_4266, news_1301, news_7242, news_195, news_5051, news_4249
U1646, iter_0: news_8643, news_7824, news_4781, news_4681, news_211, news_4237, news_4249, news_5797, news_4715, news_7242, news_150, news_1301, news_4650, news_4266, news_2801, news_8308, news_8189, news_5752, news_144, news_3491
U6560, iter_0: news_2824, news_5884, news_150, news_3947, news_8189, news_5797, news_2864, news_4715, news_211, news_195, news_5051, news_1291, news_4781, news_7824, news_4140, news_3563, news_4681, news_5752, news_4249, news_7242
U847, iter_0: news_8189, news_4237, news_4781, news_4715, news_4249, news_3947, news_150, news_2824, news_1244, news_5606, news_7824, news_1291, news_195, news_7242, news_4083, news_144, news_5797, news_5884, news_4140, news_4650
U5878, iter_0: news_8308, news_2864, news_5884, news_5051, news_1291, news_5606, news_3563, news_1301, news_5752, news_4681, news_4140, news_2824, news_4715, news_4083, news_5797, news_195, news_4266, news_7212, news_3947, news_7242
U1363, iter_0: news_2824, news_1291, news_1244, news_4237, news_5606, news_5884, news_4715, news_4249, news_683, news_4781, news_8189, news_144, news_2864, news_4083, news_3947, news_5797, news_4650, news_1120, news_2801, news_211
U2980, iter_0: news_5884, news_2864, news_211, news_4715, news_2824, news_5797, news_4681, news_7824, news_8189, news_150, news_8308, news_5752, news_1291, news_195, news_1244, news_7242, news_1301, news_4266, news_5051, news_3947
U4564, iter_0: news_3563, news_5752, news_195, news_4715, news_3947, news_8189, news_4083, news_150, news_5797, news_4681, news_1301, news_7242, news_4249, news_4266, news_5051, news_4781, news_4237, news_144, news_8643, news_211
U5165, iter_0: news_150, news_3947, news_4715, news_8189, news_195, news_7242, news_3563, news_1291, news_4249, news_5752, news_5051, news_4681, news_4083, news_8643, news_4237, news_2801, news_3491, news_1301, news_1120, news_8308
U2379, iter_0: news_4715, news_8189, news_150, news_3947, news_4781, news_7242, news_195, news_4249, news_2864, news_1291, news_5752, news_4237, news_5797, news_4083, news_7824, news_4266, news_5606, news_4681, news_4140, news_8643
U4605, iter_0: news_4781, news_1244, news_7212, news_7824, news_2801, news_8189, news_4237, news_5051, news_5797, news_4681, news_4249, news_1301, news_1120, news_4650, news_2824, news_4266, news_683, news_144, news_3947, news_4715
U1109, iter_0: news_8189, news_4375, news_2573, news_4715, news_4237, news_6543, news_4581, news_5002, news_1288, news_8143, news_7242, news_769, news_4249, news_2951, news_884, news_376, news_5632, news_5646, news_1128, news_5752
U804, iter_0: news_3947, news_4715, news_150, news_8189, news_4781, news_3563, news_1291, news_195, news_7242, news_8643, news_2824, news_4249, news_5752, news_4237, news_7824, news_4266, news_4083, news_4681, news_4650, news_2801
U2430, iter_0: news_4237, news_1244, news_8189, news_4249, news_8643, news_7242, news_4650, news_4715, news_150, news_7824, news_2801, news_195, news_4140, news_3947, news_3563, news_5752, news_4083, news_5606, news_144, news_3491
U107, iter_0: news_4715, news_8189, news_5051, news_3947, news_5752, news_150, news_2824, news_4781, news_7242, news_5884, news_195, news_8643, news_4681, news_5606, news_4249, news_1301, news_2864, news_4237, news_4083, news_211
U4289, iter_0: news_8189, news_4715, news_7824, news_2824, news_4781, news_150, news_1291, news_3947, news_5606, news_5051, news_5797, news_5884, news_4249, news_4237, news_211, news_7242, news_5752, news_195, news_3563, news_4140
U484, iter_0: news_4715, news_4681, news_5797, news_1244, news_7824, news_2864, news_150, news_8189, news_1291, news_211, news_2824, news_8308, news_5884, news_5051, news_5752, news_4266, news_1301, news_4781, news_8643, news_7242
U1205, iter_0: news_3947, news_8189, news_2824, news_4715, news_150, news_4781, news_1291, news_7242, news_4249, news_2864, news_5051, news_4237, news_195, news_5884, news_4083, news_5752, news_4650, news_7824, news_4266, news_8643
U2027, iter_0: news_1291, news_3947, news_150, news_2824, news_4715, news_3563, news_4781, news_5797, news_7824, news_5884, news_8189, news_4140, news_4681, news_195, news_5752, news_8643, news_211, news_2864, news_7242, news_1244
U5771, iter_0: news_3947, news_150, news_5051, news_8189, news_4715, news_2864, news_2824, news_195, news_5884, news_5797, news_4781, news_7242, news_3563, news_1291, news_5752, news_4249, news_4140, news_4681, news_7824, news_8643
